,Families,Genus,Incidence
153,CBM67+GH65,Pectobacterium,
154,CBM67+GH65,Dickeya,
155,CBM67+GH65,Musicola,
156,CBM67+GH65,Soft tissue targeting,
157,CBM67+GH65,Brenneria,
158,CBM67+GH65,Lonsdalea,
159,CBM67+GH65,Hard tissue targeting,1.0
160,GT25+GH16,Pectobacteriaceae,
161,GT25+GH16,Pectobacterium,
162,GT25+GH16,Dickeya,1.0
163,GT25+GH16,Musicola,
164,GT25+GH16,Soft tissue targeting,
165,GT25+GH16,Brenneria,
166,GT25+GH16,Lonsdalea,
167,GT25+GH16,Hard tissue targeting,
168,GH13+CBM48+CE8,Pectobacteriaceae,
169,GH13+CBM48+CE8,Pectobacterium,
170,GH13+CBM48+CE8,Dickeya,
171,GH13+CBM48+CE8,Musicola,
172,GH13+CBM48+CE8,Soft tissue targeting,635.0
173,GH13+CBM48+CE8,Brenneria,
174,GH13+CBM48+CE8,Lonsdalea,
175,GH13+CBM48+CE8,Hard tissue targeting,
176,CE11+GH32+GH102,Pectobacteriaceae,
177,CE11+GH32+GH102,Pectobacterium,425.0
178,CE11+GH32+GH102,Dickeya,
179,CE11+GH32+GH102,Musicola,
180,CE11+GH32+GH102,Soft tissue targeting,
181,CE11+GH32+GH102,Brenneria,
182,CE11+GH32+GH102,Lonsdalea,
183,CE11+GH32+GH102,Hard tissue targeting,
184,GH5+GH19+PL4,Pectobacteriaceae,
185,GH5+GH19+PL4,Pectobacterium,
186,GH5+GH19+PL4,Dickeya,203.0
187,GH5+GH19+PL4,Musicola,
188,GH5+GH19+PL4,Soft tissue targeting,
189,GH5+GH19+PL4,Brenneria,
190,GH5+GH19+PL4,Lonsdalea,
191,GH5+GH19+PL4,Hard tissue targeting,
192,GH1+GH73+GT0,Pectobacteriaceae,
193,GH1+GH73+GT0,Pectobacterium,
194,GH1+GH73+GT0,Dickeya,
195,GH1+GH73+GT0,Musicola,
196,GH1+GH73+GT0,Soft tissue targeting,
197,GH1+GH73+GT0,Brenneria,
198,GH1+GH73+GT0,Lonsdalea,
199,GH1+GH73+GT0,Hard tissue targeting,74.0
200,GT5+GT35+GT8,Pectobacteriaceae,
201,GT5+GT35+GT8,Pectobacterium,
202,GT5+GT35+GT8,Dickeya,
203,GT5+GT35+GT8,Musicola,
204,GT5+GT35+GT8,Soft tissue targeting,
205,GT5+GT35+GT8,Brenneria,
206,GT5+GT35+GT8,Lonsdalea,
207,GT5+GT35+GT8,Hard tissue targeting,36.0
208,GH121+GH146+GH154,Pectobacteriaceae,
209,GH121+GH146+GH154,Pectobacterium,1.0
210,GH121+GH146+GH154,Dickeya,
211,GH121+GH146+GH154,Musicola,
212,GH121+GH146+GH154,Soft tissue targeting,1.0
213,GH121+GH146+GH154,Brenneria,
214,GH121+GH146+GH154,Lonsdalea,
215,GH121+GH146+GH154,Hard tissue targeting,
216,GH13+CBM48+CE8+CE9,Pectobacteriaceae,
217,GH13+CBM48+CE8+CE9,Pectobacterium,425.0
218,GH13+CBM48+CE8+CE9,Dickeya,
219,GH13+CBM48+CE8+CE9,Musicola,
220,GH13+CBM48+CE8+CE9,Soft tissue targeting,
221,GH13+CBM48+CE8+CE9,Brenneria,
222,GH13+CBM48+CE8+CE9,Lonsdalea,
223,GH13+CBM48+CE8+CE9,Hard tissue targeting,
224,GH1+GH28+GH73+GT0+GH4,Pectobacteriaceae,
225,GH1+GH28+GH73+GT0+GH4,Pectobacterium,
226,GH1+GH28+GH73+GT0+GH4,Dickeya,
227,GH1+GH28+GH73+GT0+GH4,Musicola,
228,GH1+GH28+GH73+GT0+GH4,Soft tissue targeting,
229,GH1+GH28+GH73+GT0+GH4,Brenneria,
230,GH1+GH28+GH73+GT0+GH4,Lonsdalea,38.0
231,GH1+GH28+GH73+GT0+GH4,Hard tissue targeting,
232,GH13+PL1+PL3+GT30+GH39,Pectobacteriaceae,
233,GH13+PL1+PL3+GT30+GH39,Pectobacterium,
234,GH13+PL1+PL3+GT30+GH39,Dickeya,
235,GH13+PL1+PL3+GT30+GH39,Musicola,
236,GH13+PL1+PL3+GT30+GH39,Soft tissue targeting,
237,GH13+PL1+PL3+GT30+GH39,Brenneria,
238,GH13+PL1+PL3+GT30+GH39,Lonsdalea,38.0
239,GH13+PL1+PL3+GT30+GH39,Hard tissue targeting,
240,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9,Pectobacteriaceae,711.0
241,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9,Pectobacterium,
242,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9,Dickeya,
243,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9,Musicola,
244,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9,Soft tissue targeting,
245,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9,Brenneria,
246,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9,Lonsdalea,
247,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9,Hard tissue targeting,
248,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH28+PL1+GH103+PL9,Pectobacteriaceae,
249,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH28+PL1+GH103+PL9,Pectobacterium,
250,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH28+PL1+GH103+PL9,Dickeya,
251,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH28+PL1+GH103+PL9,Musicola,
252,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH28+PL1+GH103+PL9,Soft tissue targeting,636.0
253,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH28+PL1+GH103+PL9,Brenneria,
254,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH28+PL1+GH103+PL9,Lonsdalea,
255,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH28+PL1+GH103+PL9,Hard tissue targeting,
256,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+CE11+GT56+GT4+GT28+GT19+GT26,Pectobacteriaceae,
257,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+CE11+GT56+GT4+GT28+GT19+GT26,Pectobacterium,
258,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+CE11+GT56+GT4+GT28+GT19+GT26,Dickeya,
259,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+CE11+GT56+GT4+GT28+GT19+GT26,Musicola,
260,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+CE11+GT56+GT4+GT28+GT19+GT26,Soft tissue targeting,
261,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+CE11+GT56+GT4+GT28+GT19+GT26,Brenneria,
262,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+CE11+GT56+GT4+GT28+GT19+GT26,Lonsdalea,
263,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+CE11+GT56+GT4+GT28+GT19+GT26,Hard tissue targeting,75.0
264,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH28+PL1+GH103+PL9+PL2+PL22+PL3+GH43,Pectobacteriaceae,
265,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH28+PL1+GH103+PL9+PL2+PL22+PL3+GH43,Pectobacterium,426.0
266,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH28+PL1+GH103+PL9+PL2+PL22+PL3+GH43,Dickeya,
267,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH28+PL1+GH103+PL9+PL2+PL22+PL3+GH43,Musicola,
268,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH28+PL1+GH103+PL9+PL2+PL22+PL3+GH43,Soft tissue targeting,
269,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH28+PL1+GH103+PL9+PL2+PL22+PL3+GH43,Brenneria,
270,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH28+PL1+GH103+PL9+PL2+PL22+PL3+GH43,Lonsdalea,
271,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH28+PL1+GH103+PL9+PL2+PL22+PL3+GH43,Hard tissue targeting,
272,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+CE11+GT56+GH32+GT4+GT28+GT19+GH8+CE4+GH77+GH19+GT26+GH68+CBM32+GT20+GH37,Pectobacteriaceae,
273,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+CE11+GT56+GH32+GT4+GT28+GT19+GH8+CE4+GH77+GH19+GT26+GH68+CBM32+GT20+GH37,Pectobacterium,
274,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+CE11+GT56+GH32+GT4+GT28+GT19+GH8+CE4+GH77+GH19+GT26+GH68+CBM32+GT20+GH37,Dickeya,
275,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+CE11+GT56+GH32+GT4+GT28+GT19+GH8+CE4+GH77+GH19+GT26+GH68+CBM32+GT20+GH37,Musicola,
276,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+CE11+GT56+GH32+GT4+GT28+GT19+GH8+CE4+GH77+GH19+GT26+GH68+CBM32+GT20+GH37,Soft tissue targeting,
277,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+CE11+GT56+GH32+GT4+GT28+GT19+GH8+CE4+GH77+GH19+GT26+GH68+CBM32+GT20+GH37,Brenneria,
278,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+CE11+GT56+GH32+GT4+GT28+GT19+GH8+CE4+GH77+GH19+GT26+GH68+CBM32+GT20+GH37,Lonsdalea,39.0
279,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+CE11+GT56+GH32+GT4+GT28+GT19+GH8+CE4+GH77+GH19+GT26+GH68+CBM32+GT20+GH37,Hard tissue targeting,
280,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+PL1+GH103+PL9+CBM48+CE8+GH105+GT4+GT28+GT19+GH73+GT5+GT35+GH8+CE4+GH77+GT1+GH33,Pectobacteriaceae,
281,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+PL1+GH103+PL9+CBM48+CE8+GH105+GT4+GT28+GT19+GH73+GT5+GT35+GH8+CE4+GH77+GT1+GH33,Pectobacterium,
282,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+PL1+GH103+PL9+CBM48+CE8+GH105+GT4+GT28+GT19+GH73+GT5+GT35+GH8+CE4+GH77+GT1+GH33,Dickeya,206.0
283,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+PL1+GH103+PL9+CBM48+CE8+GH105+GT4+GT28+GT19+GH73+GT5+GT35+GH8+CE4+GH77+GT1+GH33,Musicola,
284,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+PL1+GH103+PL9+CBM48+CE8+GH105+GT4+GT28+GT19+GH73+GT5+GT35+GH8+CE4+GH77+GT1+GH33,Soft tissue targeting,
285,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+PL1+GH103+PL9+CBM48+CE8+GH105+GT4+GT28+GT19+GH73+GT5+GT35+GH8+CE4+GH77+GT1+GH33,Brenneria,
286,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+PL1+GH103+PL9+CBM48+CE8+GH105+GT4+GT28+GT19+GH73+GT5+GT35+GH8+CE4+GH77+GT1+GH33,Lonsdalea,
287,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+PL1+GH103+PL9+CBM48+CE8+GH105+GT4+GT28+GT19+GH73+GT5+GT35+GH8+CE4+GH77+GT1+GH33,Hard tissue targeting,
288,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+GH103+GT84+GH94+CE11+GT56+GH32+GH102+CE9+GT4+GT28+GT19+GH73+GT30+GT5+GT35+GT26+GT0+GT81+GH68+GH4+GT8+CE12,Pectobacteriaceae,
289,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+GH103+GT84+GH94+CE11+GT56+GH32+GH102+CE9+GT4+GT28+GT19+GH73+GT30+GT5+GT35+GT26+GT0+GT81+GH68+GH4+GT8+CE12,Pectobacterium,
290,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+GH103+GT84+GH94+CE11+GT56+GH32+GH102+CE9+GT4+GT28+GT19+GH73+GT30+GT5+GT35+GT26+GT0+GT81+GH68+GH4+GT8+CE12,Dickeya,
291,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+GH103+GT84+GH94+CE11+GT56+GH32+GH102+CE9+GT4+GT28+GT19+GH73+GT30+GT5+GT35+GT26+GT0+GT81+GH68+GH4+GT8+CE12,Musicola,
292,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+GH103+GT84+GH94+CE11+GT56+GH32+GH102+CE9+GT4+GT28+GT19+GH73+GT30+GT5+GT35+GT26+GT0+GT81+GH68+GH4+GT8+CE12,Soft tissue targeting,
293,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+GH103+GT84+GH94+CE11+GT56+GH32+GH102+CE9+GT4+GT28+GT19+GH73+GT30+GT5+GT35+GT26+GT0+GT81+GH68+GH4+GT8+CE12,Brenneria,33.0
294,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+GH103+GT84+GH94+CE11+GT56+GH32+GH102+CE9+GT4+GT28+GT19+GH73+GT30+GT5+GT35+GT26+GT0+GT81+GH68+GH4+GT8+CE12,Lonsdalea,
295,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+GH103+GT84+GH94+CE11+GT56+GH32+GH102+CE9+GT4+GT28+GT19+GH73+GT30+GT5+GT35+GT26+GT0+GT81+GH68+GH4+GT8+CE12,Hard tissue targeting,
296,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+PL1+GH103+PL9+PL2+PL22+CBM48+CE8+CE11+GH5+GH105+GT56+GH32+GH102+CE9+GT4+GT28+GT19+GH73+GT30+GT5+GT35+GH8+CE4+GH77+GH19+GT83+GT1+GH33+GT26+GT0+GT81+GH31+CE12+GH38+GH30+CE1+GH2+GH104,Pectobacteriaceae,
297,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+PL1+GH103+PL9+PL2+PL22+CBM48+CE8+CE11+GH5+GH105+GT56+GH32+GH102+CE9+GT4+GT28+GT19+GH73+GT30+GT5+GT35+GH8+CE4+GH77+GH19+GT83+GT1+GH33+GT26+GT0+GT81+GH31+CE12+GH38+GH30+CE1+GH2+GH104,Pectobacterium,
298,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+PL1+GH103+PL9+PL2+PL22+CBM48+CE8+CE11+GH5+GH105+GT56+GH32+GH102+CE9+GT4+GT28+GT19+GH73+GT30+GT5+GT35+GH8+CE4+GH77+GH19+GT83+GT1+GH33+GT26+GT0+GT81+GH31+CE12+GH38+GH30+CE1+GH2+GH104,Dickeya,
299,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+PL1+GH103+PL9+PL2+PL22+CBM48+CE8+CE11+GH5+GH105+GT56+GH32+GH102+CE9+GT4+GT28+GT19+GH73+GT30+GT5+GT35+GH8+CE4+GH77+GH19+GT83+GT1+GH33+GT26+GT0+GT81+GH31+CE12+GH38+GH30+CE1+GH2+GH104,Musicola,4.0
300,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+PL1+GH103+PL9+PL2+PL22+CBM48+CE8+CE11+GH5+GH105+GT56+GH32+GH102+CE9+GT4+GT28+GT19+GH73+GT30+GT5+GT35+GH8+CE4+GH77+GH19+GT83+GT1+GH33+GT26+GT0+GT81+GH31+CE12+GH38+GH30+CE1+GH2+GH104,Soft tissue targeting,
301,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+PL1+GH103+PL9+PL2+PL22+CBM48+CE8+CE11+GH5+GH105+GT56+GH32+GH102+CE9+GT4+GT28+GT19+GH73+GT30+GT5+GT35+GH8+CE4+GH77+GH19+GT83+GT1+GH33+GT26+GT0+GT81+GH31+CE12+GH38+GH30+CE1+GH2+GH104,Brenneria,
302,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+PL1+GH103+PL9+PL2+PL22+CBM48+CE8+CE11+GH5+GH105+GT56+GH32+GH102+CE9+GT4+GT28+GT19+GH73+GT30+GT5+GT35+GH8+CE4+GH77+GH19+GT83+GT1+GH33+GT26+GT0+GT81+GH31+CE12+GH38+GH30+CE1+GH2+GH104,Lonsdalea,
303,GH23+GH3+CBM5+CBM50+GT2+GT51+GT9+GH1+GH13+GH28+PL1+GH103+PL9+PL2+PL22+CBM48+CE8+CE11+GH5+GH105+GT56+GH32+GH102+CE9+GT4+GT28+GT19+GH73+GT30+GT5+GT35+GH8+CE4+GH77+GH19+GT83+GT1+GH33+GT26+GT0+GT81+GH31+CE12+GH38+GH30+CE1+GH2+GH104,Hard tissue targeting,
