	genome ID	description	path	MD5 hash	genome length
10	11	CM001842.1 Dickeya solani MK16 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000365345.1_DSOMK16_1.0_genomic.fna	c893b403f6a28c16eb956ac1d896e8ef	4870382
11	12	CM001838.1 Dickeya dianthicola GBBC 2039 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000365365.1_DDIGBBC2039_1.0_genomic.fna	725db7f7fc3130450ba7941892d2cb96	4798242
12	13	CM001840.1 Dickeya dianthicola NCPPB 3534 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000365405.2_DDI3534_1.0_genomic.fna	a05ad15ec27b88402f013ad482c01641	4867392
13	14	CP053012.1 Dickeya zeae MS1 chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000382585.2_ASM38258v2_genomic.fna	e668257954579858e8c0bf8434cd5435	4831702
14	15	CM001850.1 Pectobacterium atrosepticum CFBP 6276 plasmid pL1Pa6276, complete sequence, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000389755.1_Pa6276v1.0_genomic.fna	239a3b471832ab5ba0b3c2c9964f2bc2	4869432
15	16	CM001857.1 Dickeya paradisiaca NCPPB 2511 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000400505.1_DPA2511_1.0_genomic.fna	67031257c53eba42ecc94220fd280d90	4631867
16	17	CM001858.1 Dickeya zeae NCPPB 3532 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000400525.1_DZE3532_1.0_genomic.fna	fc9cf0475cfbb30486efec309799935a	4557062
17	18	CM001860.1 Dickeya solani GBBC 2040 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000400565.1_DSOGBBC2040_1.0_genomic.fna	4aa75465dc8b6d7bf00e4f96ecfbdf2a	4860047
18	19	CM001859.1 Dickeya solani IPO 2222 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000400795.1_DSOIPO2222_1.0_genomic.fna	92a3930d25b11859b3e1bb9f3f7c9975	4867258
19	20	CM001972.1 Dickeya zeae CSL RW192 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000406045.1_DZERW192_1.0_genomic.fna	ccd17ba7e368a033e7e6f506d107f00d	4701772
20	21	CM001904.1 Dickeya chrysanthemi NCPPB 516 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000406065.1_DCH516_1.0_genomic.fna	0f3758514c7201582b187ffe3408757f	4617243
21	22	CM001973.2 Dickeya sp. CSL RW240 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000406085.2_ASM40608v2_genomic.fna	d7f23e32104f7406d8d2768981bd8ab1	4386617
22	23	CM001974.1 Dickeya chrysanthemi NCPPB 402 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000406105.1_DCH402_1.0_genomic.fna	0ee68d691cd1facab26958c766082af2	4700353
23	24	CM001975.1 Dickeya sp. NCPPB 569 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000406125.1_DXY569_1.0_genomic.fna	2bb7c8076fb216301e3617198474c887	4220760
24	25	CM001976.1 Dickeya dadantii NCPPB 898 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000406145.1_DDA898_1.0_genomic.fna	ce23b5a63217c37638c9f501c62d1fed	4937637
25	26	CM001977.1 Dickeya zeae NCPPB 2538 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000406165.1_DZE2538_1.0_genomic.fna	f788f9ed7041f65b3e705c054132a038	4563790
26	27	CM001978.1 Dickeya dadantii subsp. dadantii NCPPB 2976 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000406185.1_DDA2976_1.0_genomic.fna	7888f3555c604cea1c8623202b2f833a	4817532
27	28	CM001979.1 Dickeya sp. NCPPB 3274 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000406205.1_DXX3274_1.0_genomic.fna	1593e552a5e181325824bf136a9f2486	5115016
28	29	CM001981.1 Dickeya chrysanthemi NCPPB 3533 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000406245.1_DCH3533_1.0_genomic.fna	854602b16b0970df51b761a479521c26	4730712
29	30	CM001982.1 Dickeya dadantii NCPPB 3537 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000406265.1_DDA3537_1.0_genomic.fna	a05520894dbd6e1eea50990ac754135b	4808448
30	31	CM001983.1 Dickeya sp. DW 0440 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000406285.1_DXXDW0440_1.0_genomic.fna	b4e191546bd5f8255ec0b66a04d6038e	4341937
31	32	CM001984.1 Dickeya sp. MK7 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000406305.1_DXXMK7_1.0_genomic.fna	20f9618272c8e60db58063748b99bcd3	4931396
32	33	CM001985.1 Dickeya zeae MK19 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000406325.1_DZEMK19_1.0_genomic.fna	3a891252e11f7efb128ef17824c1a6ee	4672151
33	34	CM002023.1 Dickeya dianthicola IPO 980 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000430955.1_DDIIPO980_1.0_genomic.fna	9c641b049c111528eccb2d8e3ee64b2f	4840931
34	35	CP016928.1 Dickeya solani RNS 08.23.3.1.A, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000511285.2_ASM51128v2_genomic.fna	ee4d5a68613b9300bf14dc2549662d7b	4922468
35	36	JENG01000001.1 Pectobacterium parmentieri CFIA1002 scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000632375.1_Pectobacterium_wasabiae_CFIA1002_genomic.fna	5aac8e24554c75e1224c1ef4068983bc	5008535
36	37	CP007744.1 Pectobacterium atrosepticum strain JG10-08, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000696465.1_ASM69646v1_genomic.fna	e268506c2d7047cad4e0c94b625231f6	5004926
37	38	JPSN01000001.1 Pectobacterium brasiliense strain CFIA1009 scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000738105.1_ASM73810v1_genomic.fna	342fcf8fa0deaf4b508594b4967a5a6f	4757978
38	39	JPSM01000001.1 Pectobacterium brasiliense strain CFIA1001 scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000738115.1_ASM73811v1_genomic.fna	3ecdd98d8882a396c76589d235fde471	4765951
39	40	CP009125.1 Pectobacterium atrosepticum strain 21A, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000740965.1_ASM74096v1_genomic.fna	1b3167bb30f8e929ec3346d56685f0af	5024250
40	41	KN151106.1 Pectobacterium wasabiae strain RNS08.42.1A genomic scaffold scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000757625.1_PecWasRNS_1.0_genomic.fna	bca096eefe6d5ad79d4ef4e2e216e9bb	5015359
41	42	CP009460.1 Dickeya fangzhongdai strain ND14b chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000758345.1_ASM75834v1_genomic.fna	13beaf16e53917700c1d351e7ed77259	5052868
42	43	CP009678.1 Pectobacterium carotovorum subsp. odoriferum strain BC S7, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000769535.1_ASM76953v1_genomic.fna	41b25fbbacb157d999b54f23217eaedd	4933575
43	44	JUJB01000001.1 Pectobacterium brasiliense strain Y49 scaffold1-size496409, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000808115.1_ASM80811v1_genomic.fna	84428b5ca4d49ddf64c8be3e43e5ba67	4702692
44	45	JUJD01000001.1 Pectobacterium brasiliense strain Y62 Y62.scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000808145.1_ASM80814v1_genomic.fna	6cf226f43e70329b8ef5fe8f58da63b2	4857062
45	46	JUJE01000001.1 Pectobacterium brasiliense strain Y64 Y64.scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000808195.1_ASM80819v1_genomic.fna	15abb816584d85724533da35d29d5977	4816280
46	47	JUJK01000001.1 Pectobacterium brasiliense strain Y29 Y29.scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000808245.1_ASM80824v1_genomic.fna	fe209db11355de1a6fef230bf45faa0c	4815476
47	48	JUJH01000001.1 Pectobacterium brasiliense strain YC Y46 Y46.scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000808255.1_ASM80825v1_genomic.fna	d499922fd3ebec6afb52800c4adbbd5a	4777745
48	49	JUJL01000001.1 Pectobacterium brasiliense strain Y31 Y31.scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000808295.1_ASM80829v1_genomic.fna	d0990b5f802734ac3d603fe2710ee48e	4826010
49	50	JUJM01000001.1 Pectobacterium brasiliense strain Y3 Y3.scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000808315.1_ASM80831v1_genomic.fna	d72c39523326215cb1dfc6fc46903526	4740143
50	51	JUJT01000001.1 Pectobacterium brasiliense strain B6 B6.scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000808355.1_ASM80835v1_genomic.fna	cb0db5053b8e76277dd3c8eb0554cfac	4683764
51	52	JUJF01000001.1 Pectobacterium brasiliense strain S2 S2.scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000808375.1_ASM80837v1_genomic.fna	48c7ae995ff0bf20ea81a277833333d8	4836921
52	53	JUJC01000001.1 Pectobacterium brasiliense strain Y52 Y52.scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000808385.1_ASM80838v1_genomic.fna	14dced147df6153624e86c0966f4fdd8	4780080
53	54	JUJI01000001.1 Pectobacterium parvum strain Y1 Y1.scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000808415.1_ASM80841v1_genomic.fna	d2a1e70b364bd5969d593c3f883d9c8c	3884778
54	55	JUJO01000001.1 Pectobacterium carotovorum subsp. carotovorum strain Y16 Y16.scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000808435.1_ASM80843v1_genomic.fna	8c7d539e964cadd4a42d8edade40eccb	4741163
55	56	JUJP01000001.1 Pectobacterium brasiliense strain Y60 Y60.scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000808455.1_ASM80845v1_genomic.fna	84600ea4b96909999f5fbc75617be609	4832431
56	57	JUJR01000001.1 Pectobacterium carotovorum subsp. carotovorum strain B2 B2.scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000808495.1_ASM80849v1_genomic.fna	05e9d2879bf401f600d209f7a5f37aee	4756023
57	58	JUJS01000001.1 Pectobacterium carotovorum subsp. carotovorum strain B5 B5.scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000808515.1_ASM80851v1_genomic.fna	6bd5d754b4c6aa245a6507ec097ff644	4826332
58	59	CP024711.1 Dickeya solani strain IFB 0099 chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000831935.2_ASM83193v2_genomic.fna	6ec220959bfc51c1fd622ac1f80e90f1	4932920
59	60	KQ046817.1 Dickeya dianthicola RNS04.9 genomic scaffold chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000975305.1_DdRNS04.9V1.0_genomic.fna	6fe8acbe998066bbc1016780a0f28128	4721506
60	61	JXBO02000024.1 Dickeya fangzhongdai strain S1 plasmid pS1 Dickeya_fangzhongdai_S1_contig_24, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_001187965.2_ASM118796v2_genomic.fna	d8fd2b8cdf92dbf18ca5c9e7078a43df	4942112
61	62	CP087226.1 Dickeya fangzhongdai strain B16 chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_001187975.3_ASM118797v3_genomic.fna	ad34857200277b90deb470def2a55651	4967252
62	63	JWLR01000001.1 Dickeya solani strain RNS 07.7.3B Dsl07-7_contig_1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_001401695.1_Dsl_1.0_genomic.fna	55d9515c13e4b591307a294264ccd15d	4871815
63	64	CP104920.1 Dickeya solani strain RNS 05.1.2A chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_001401705.2_ASM140170v2_genomic.fna	e70f302100931800a073fe5f5437d913	5069883
64	65	JWLT01000021.1 Dickeya solani strain PPO 9134 Dsl9134_contig_1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_001417915.1_Dsl_1.0_genomic.fna	47ef086a006bb6886523b26f3abd4b55	4870830
65	66	CM003649.1 Dickeya solani strain PPO 9019 plasmid unnamed, complete sequence, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_001506125.1_ASM150612v1_genomic.fna	5b3048c22b9e1ee8408420e6bac4bc31	4910404
66	67	CP015137.1 Dickeya solani IPO 2222, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_001644705.1_ASM164470v1_genomic.fna	e64c22f423db5c4db9c5ee5f7060b574	4919833
67	68	CP015749.1 Pectobacterium parmentieri strain RNS 08-42-1A, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_001742145.1_ASM174214v1_genomic.fna	5d2bf2a1e12043f2c8acbaadbe149280	5030841
68	69	CP015750.1 Pectobacterium wasabiae CFBP 3304, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_001742185.1_ASM174218v1_genomic.fna	eec58dec83b45a01aed50914b9bc0941	5043228
69	70	CP009769.1 Pectobacterium carotovorum subsp. brasiliense strain BC1, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_001932635.1_ASM193263v1_genomic.fna	280e179697c7e5e56102e67cfd3b363d	4920350
70	71	MPUJ01000001.1 Pectobacterium actinidiae strain ICMP 19972 Scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_001984525.1_ASM198452v1_genomic.fna	538f020d88bd91d3fbd3f2e88ad4cd87	4886946
71	72	MPUI01000001.1 Pectobacterium actinidiae strain ICMP 19971 Scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_001984535.1_ASM198453v1_genomic.fna	0fb7428496eee248c263b58acde9faf6	4891911
72	73	CP020350.1 Pectobacterium brasiliense strain SX309 chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002068115.1_ASM206811v1_genomic.fna	780ec408e93138b996a2519851932e8b	4966299
73	74	CP017482.1 Pectobacterium polaris strain NIBIO1392 chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002288545.1_ASM228854v1_genomic.fna	2c27d051e8bd0b87bb1ee376ecca7ece	5008416
74	75	CP014137.1 Brenneria goodwinii strain FRB141, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002291445.1_ASM229144v1_genomic.fna	b407df71e784ebed255950cc1238b615	5360730
75	76	CP017481.1 Pectobacterium polaris strain NIBIO1006 chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002307355.1_ASM230735v1_genomic.fna	8406e9ac23c60b3f9f12bb2f6fd70af4	4826824
76	77	CP017638.1 Dickeya dianthicola RNS04.9, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002706485.1_ASM270648v1_genomic.fna	0b7ad48b3e2580c7e947953a1b747693	4720132
77	78	CP024780.1 Pectobacterium brasiliense strain BZA12 chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002764035.1_ASM276403v1_genomic.fna	16cd4eb29cbc82a3f28e045a0c773a17	4924809
78	79	CP024956.1 Pectobacterium atrosepticum strain 36A chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002804265.1_ASM280426v1_genomic.fna	06a719fb34527d6feb620e9313e6c66c	4965575
79	80	CP025003.1 Dickeya fangzhongdai strain DSM 101947 chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002812485.1_ASM281248v1_genomic.fna	cfada97b3ce6b0fd4a662902949fe5e9	5032447
80	81	CP017453.1 Dickeya solani D s0432-1 chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002846975.1_ASM284697v1_genomic.fna	022a050a56ce0a07c00a9409f4891026	4919812
81	82	CP017454.1 Dickeya solani strain PPO 9019 chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002846995.1_ASM284699v1_genomic.fna	94025be56bfc772ccd5b91acd01b89c2	4962430
82	83	CP025799.1 Dickeya zeae strain MS2 chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002887555.1_ASM288755v1_genomic.fna	cf8d79955db8d08cca3044f7102f0dca	4740052
83	84	MTAG01000001.1 Pectobacterium odoriferum strain Q3 Scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002904005.1_ASM290400v1_genomic.fna	8b9e07c559ebad0a34a4aede69cdaa03	5050068
84	85	MTAH01000001.1 Pectobacterium odoriferum strain Q40 Scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002904025.1_ASM290402v1_genomic.fna	b11000f786c171cb8a75e61ad3d4060d	5144582
85	86	MTAI01000001.1 Pectobacterium odoriferum strain Q32 Scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002904045.1_ASM290404v1_genomic.fna	45c96de95d4da1e3630239f80459ed72	4972249
86	87	MTAJ01000001.1 Pectobacterium odoriferum strain Q47 Scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002904055.1_ASM290405v1_genomic.fna	ec5bf297c329baa1d749d64523460523	4922397
87	88	MTAK01000001.1 Pectobacterium odoriferum strain Q106 Scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002904085.1_ASM290408v1_genomic.fna	14d0148f6f970651d0e4357d38ae7891	5058220
88	89	MTAL01000001.1 Pectobacterium odoriferum strain Q115 Scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002904105.1_ASM290410v1_genomic.fna	9a7bd057ceafdff1fcc881714be3707f	5085540
89	90	MTAM01000001.1 Pectobacterium odoriferum strain S6-2 Scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002904125.1_ASM290412v1_genomic.fna	e19806761364f3d0f9bbcde48a624b20	4867089
90	91	MTAN01000001.1 Pectobacterium odoriferum strain T4 Scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002904145.1_ASM290414v1_genomic.fna	81cf77d2cdbce544f71c494441ac7588	5061459
91	92	MTAO01000001.1 Pectobacterium odoriferum strain Q142 Scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002904185.1_ASM290418v1_genomic.fna	4f23863113d7e277e33d66d21a0d14ab	5083832
92	93	MTAP01000001.1 Pectobacterium odoriferum strain Q166 Scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002904195.1_ASM290419v1_genomic.fna	fe4fab6d12e517ff61c479993b786c35	5086265
93	94	MTAQ01000001.1 Pectobacterium odoriferum strain S6 Scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002904225.1_ASM290422v1_genomic.fna	4486d6e8bd0e2e60777125cba0c610f0	4869321
94	95	MTAR01000001.1 Pectobacterium odoriferum strain T5 Scaffold1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002904255.1_ASM290425v1_genomic.fna	00ea7e3c4d9864c7be43bd287a1ff273	5129710
95	96	PJJB01000001.1 Dickeya dianthicola strain DE440 Dickeya440_contig_1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002906725.1_ASM290672v1_genomic.fna	2a32aa0186c768809e139cd089b5b0d6	4867975
96	97	CP065036.1 Pectobacterium parmentieri strain PB20 chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002920045.2_ASM292004v2_genomic.fna	0fe1e9b5f77bf084bc945eb20b23dd2a	4847736
97	98	PDVN01000001.1 Dickeya solani strain F012 Dickeya_solani_strain_F012_contig#1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002921195.1_ASM292119v1_genomic.fna	4ae7864040b95ec7fc472e840f9c6482	4879104
98	99	CP065030.1 Pectobacterium versatile strain F131 chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002921235.2_ASM292123v2_genomic.fna	89f35e7b2b0a0acff3707fa7da433c54	4839711
99	100	PDVX01000001.1 Pectobacterium versatile strain F135 Pectobacterium_carotovorum_strain_F135_contig#1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002921275.1_ASM292127v1_genomic.fna	2c781c3eefdfa0dbab012eb94c8db764	4891351
100	101	PDVY01000001.1 Pectobacterium versatile strain PB69 PB69LOC_1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002921285.1_ASM292128v1_genomic.fna	a7bafa1c5b1a899d8ad2162871989caf	4993011
101	102	PDVZ01000001.1 Pectobacterium versatile strain PB70 PB70LOC_1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002921295.1_ASM292129v1_genomic.fna	b27ed9ea7cb2760a36a793fd31dc998c	4992983
102	103	PGOJ01000001.1 Dickeya solani strain F012 FGLHLNJM_1, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_002924265.1_ASM292426v1_genomic.fna	6de3c54f1cdbd6cf4df063fafdc10800	4879104
