,Genome,Genus,Species,AA10,AA3,CBM0,CBM13,CBM18,CBM3,CBM32,CBM4,CBM48,CBM5,CBM50,CBM63,CBM67,CBM91,CE1,CE11,CE12,CE2,CE4,CE8,CE9,GH0,GH1,GH102,GH103,GH104,GH105,GH106,GH108,GH113,GH12,GH121,GH127,GH13,GH140,GH146,GH148,GH15,GH153,GH154,GH16,GH18,GH19,GH2,GH23,GH24,GH25,GH26,GH28,GH3,GH30,GH31,GH32,GH33,GH36,GH37,GH38,GH39,GH4,GH42,GH43,GH5,GH51,GH53,GH65,GH68,GH73,GH77,GH78,GH8,GH88,GH91,GH94,GT0,GT1,GT101,GT102,GT11,GT111,GT14,GT19,GT2,GT20,GT21,GT24,GT25,GT26,GT28,GT30,GT32,GT35,GT4,GT41,GT5,GT51,GT52,GT56,GT73,GT8,GT81,GT83,GT84,GT9,GT97,PL0,PL1,PL10,PL11,PL17,PL2,PL22,PL26,PL3,PL35,PL38,PL4,PL9
10,GCA_025643375.1,Dickeya,dadantii,0,1,0,0,0,0,2,0,2,2,6,1,0,0,1,1,1,0,1,2,1,0,5,1,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,8,0,0,1,5,3,1,1,1,2,1,0,0,0,0,1,2,1,0,1,0,0,1,1,0,1,1,0,0,1,2,0,0,0,0,0,1,11,0,0,0,0,1,1,1,0,2,7,1,1,3,0,1,0,2,1,1,0,4,0,0,7,0,0,0,1,1,1,2,1,0,1,3
11,GCA_021375765.1,Pectobacterium,punjabense,0,1,0,1,0,1,1,0,2,1,6,1,0,0,1,1,2,0,1,1,1,0,9,1,1,0,2,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,6,0,0,0,4,3,0,1,1,1,1,0,1,0,1,2,3,1,0,2,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,8,0,0,0,1,1,1,1,1,2,3,0,1,3,0,1,0,2,0,1,0,3,0,0,6,0,0,0,2,1,1,2,0,0,1,2
12,GCA_022385255.1,Dickeya,fangzhongdai,0,1,0,0,0,0,2,0,3,2,6,1,0,1,1,1,1,0,1,2,1,0,5,1,2,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,6,1,0,1,5,3,1,1,1,2,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,2,2,0,0,0,0,0,1,10,0,0,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,0,4,0,0,7,1,0,0,1,1,1,2,0,1,1,3
13,GCA_003666245.1,Brenneria,alni,0,0,0,0,0,1,0,0,2,1,6,0,0,0,0,1,1,0,0,0,1,0,2,1,1,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,2,0,0,1,3,1,0,1,1,0,0,0,0,2,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0,0,0,1,1,1,0,2,3,1,1,3,0,1,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,GCA_016949195.1,Pectobacterium,brasiliense,0,1,0,1,0,1,1,0,2,1,6,1,0,0,1,1,2,0,1,2,1,0,11,1,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,6,1,0,0,4,2,0,1,1,1,1,0,1,0,1,1,2,1,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,8,0,0,0,1,1,1,1,0,2,3,0,1,3,0,1,0,1,1,1,0,4,0,0,6,0,0,0,2,1,0,2,0,0,1,2
15,GCA_013449685.1,Pectobacterium,brasiliense,0,1,0,1,0,1,1,0,2,1,6,0,0,0,1,1,1,0,0,2,1,0,11,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,8,2,0,0,3,2,0,1,1,1,1,0,2,0,1,1,1,1,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0,0,0,1,1,1,0,2,3,1,1,3,0,1,0,1,0,1,0,3,0,0,5,0,0,0,2,1,1,1,0,0,1,2
16,GCA_000400565.1,Dickeya,solani GBBC 2040,0,1,0,0,0,0,0,0,2,2,6,0,0,0,1,1,1,0,1,2,2,0,5,1,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,5,0,0,1,4,3,1,1,1,1,1,0,0,0,0,1,1,1,0,2,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0,0,1,11,0,0,0,0,1,1,1,0,2,7,1,1,3,0,1,0,0,1,1,0,4,0,0,7,0,0,0,1,1,1,2,0,0,1,4
17,GCA_020295505.1,Pectobacterium,brasiliense,0,1,0,1,0,1,1,0,2,1,6,1,0,0,1,1,1,0,1,2,1,0,11,1,1,1,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,8,3,0,0,4,2,0,1,2,1,1,0,1,0,2,1,2,1,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,8,0,0,0,0,1,1,1,0,2,2,0,1,3,0,1,0,2,1,1,0,4,0,0,6,0,1,0,2,1,1,2,0,0,1,2
18,GCA_016949705.1,Pectobacterium,brasiliense,0,1,0,1,0,1,2,0,2,1,6,1,0,0,1,1,2,0,1,2,1,0,10,1,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,6,1,0,0,4,2,0,1,1,1,1,0,1,0,1,1,3,1,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,8,0,0,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,0,3,0,0,6,0,0,0,2,1,0,2,0,0,1,2
19,GCA_013449675.1,Pectobacterium,versatile,0,1,0,1,0,1,1,0,2,1,6,1,0,0,1,1,1,0,1,2,1,0,10,1,2,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,6,1,0,0,4,2,0,1,1,1,1,0,1,0,1,1,2,1,0,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,6,0,0,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,1,4,0,0,6,0,0,0,2,1,1,2,0,0,1,2
20,GCA_002921285.1,Pectobacterium,versatile,0,1,0,1,0,1,1,0,2,1,6,1,0,0,1,1,1,0,1,2,1,0,10,1,1,0,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,5,1,0,0,4,2,0,1,1,1,1,0,1,0,1,1,2,1,0,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,6,0,0,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,1,4,0,0,6,0,0,0,2,1,1,2,0,0,1,2
21,GCA_015277635.1,Pectobacterium,carotovorum subsp. carotovorum PCCS1,0,1,0,1,0,1,2,0,2,1,6,1,0,0,1,1,1,0,1,2,1,0,9,1,2,0,2,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,7,2,0,0,5,2,0,1,1,1,0,0,1,0,1,1,2,1,0,2,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,8,0,0,0,0,1,1,1,0,2,1,1,1,3,0,1,0,4,1,1,0,4,0,0,6,0,0,0,2,1,1,2,1,0,1,2
22,GCA_000808435.1,Pectobacterium,carotovorum subsp. carotovorum,0,1,0,1,0,1,1,0,2,1,6,1,0,0,1,1,1,0,1,2,1,0,10,1,2,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,5,2,0,0,4,2,0,1,1,1,1,0,1,0,1,1,2,1,0,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,8,0,0,0,0,1,1,1,0,2,2,1,1,3,0,1,0,1,0,1,1,3,0,0,6,0,1,0,2,1,1,2,0,0,1,2
23,GCA_016107195.1,Pectobacterium,parmentieri,0,0,0,1,0,1,1,0,2,3,6,1,0,0,1,1,1,0,1,2,2,0,8,1,1,0,2,0,2,0,1,0,0,3,0,0,0,0,1,0,0,2,0,1,12,0,0,0,3,3,0,1,1,1,2,0,1,0,0,2,3,1,0,2,1,0,1,1,0,1,0,0,0,2,1,0,0,0,0,0,1,10,0,0,0,1,1,1,1,1,2,4,0,1,4,1,1,0,2,0,1,0,4,0,0,5,0,0,0,2,1,1,1,0,0,1,2
24,GCA_014855505.1,Musicola,keenii,0,0,0,0,0,0,1,0,2,2,6,1,0,0,1,1,1,0,1,1,1,0,8,1,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,5,0,0,0,2,2,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,5,0,0,0,0,1,1,1,0,2,4,0,1,3,0,1,0,0,1,1,0,4,0,0,6,0,0,0,1,1,0,0,0,0,0,3
25,GCA_009873225.2,Dickeya,fangzhongdai,0,1,0,0,0,0,2,1,2,2,6,1,0,1,1,1,1,0,1,2,1,0,5,1,2,2,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,1,7,1,0,1,3,3,1,1,2,2,1,0,0,0,1,2,1,1,0,1,0,0,1,1,0,1,0,1,0,1,2,0,0,0,0,0,1,10,0,0,0,0,1,1,1,0,2,9,1,1,3,0,1,0,0,1,1,0,4,0,1,7,1,0,0,1,1,1,2,0,1,1,3
26,GCA_018361165.1,Dickeya,dianthicola,0,0,0,0,0,0,1,0,2,2,6,2,0,1,1,1,1,1,1,2,1,0,5,1,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,9,1,0,0,3,3,0,1,2,1,1,0,0,0,0,1,1,2,0,1,0,0,1,1,0,1,0,1,1,1,2,0,0,0,0,0,1,11,0,0,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,1,4,0,0,7,0,0,0,1,1,1,2,0,1,2,3
27,GCA_016950085.1,Pectobacterium,brasiliense,0,1,0,1,0,1,2,0,2,1,6,1,0,0,1,1,2,0,1,2,1,0,11,1,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5,1,0,0,5,2,0,1,1,1,1,0,1,0,1,1,3,1,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,1,1,1,1,0,2,5,0,1,3,0,1,0,1,1,1,0,4,0,0,6,0,0,0,2,1,1,3,0,0,1,1
28,GCA_018361205.1,Dickeya,dianthicola,0,0,0,0,0,0,1,0,2,2,6,2,0,1,1,1,1,1,1,2,1,0,5,1,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,9,1,0,0,3,3,0,1,2,1,1,0,0,0,0,1,1,2,0,1,0,0,1,1,0,1,0,1,1,1,2,0,0,0,0,0,1,11,0,0,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,1,4,0,0,7,0,0,0,1,1,1,2,0,1,2,3
29,GCA_000831935.2,Dickeya,solani,0,1,0,0,0,0,0,0,2,2,6,1,0,1,1,1,1,0,1,2,1,0,5,1,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,5,0,0,1,4,3,1,1,1,2,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0,0,1,12,0,0,0,0,1,1,1,0,2,8,1,1,3,0,1,0,0,1,1,0,4,0,0,7,0,0,0,1,1,1,2,0,1,1,3
30,GCA_922021695.1,Pectobacterium,versatile,0,1,0,1,0,1,1,0,2,1,6,1,0,0,1,1,1,0,1,2,1,0,10,1,2,0,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,6,1,0,0,4,2,0,1,1,1,1,0,1,0,1,1,3,1,0,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,8,0,0,0,0,1,1,1,0,2,3,1,1,3,0,1,0,0,1,1,1,3,0,0,6,0,0,0,2,1,1,2,0,0,1,2
31,GCA_022748065.1,Dickeya,dianthicola,0,0,0,0,0,0,1,0,2,2,6,2,0,0,1,1,1,1,1,2,1,0,5,1,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,4,0,0,0,3,3,0,1,2,1,1,0,0,0,0,1,1,2,0,1,0,0,1,1,0,1,0,1,1,1,2,0,0,0,0,0,1,8,0,0,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,1,4,0,0,7,0,0,0,1,1,1,2,0,0,2,3
32,GCA_922013185.1,Pectobacterium,versatile,0,1,0,1,0,1,2,0,2,1,6,1,0,0,1,1,1,0,1,2,1,0,10,1,1,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,6,1,0,0,4,2,0,1,1,1,1,0,1,0,1,1,3,1,0,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,8,0,0,0,0,1,1,1,1,2,5,0,1,3,0,1,0,1,1,1,1,3,0,0,6,0,0,0,2,1,1,2,0,0,1,2
33,GCA_022392325.1,Pectobacterium,carotovorum,0,1,0,1,0,1,1,0,2,1,6,1,0,2,1,1,1,0,1,2,1,1,10,1,2,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,6,1,0,0,4,2,0,1,1,1,1,0,1,0,1,1,3,1,0,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,9,0,0,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,1,3,0,0,6,0,0,0,2,1,1,2,0,1,1,2
34,GCA_003934295.1,Dickeya,lacustris,0,0,0,0,0,0,0,0,2,2,6,1,0,0,1,1,1,0,1,1,2,0,4,1,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,4,1,0,0,2,3,0,0,1,1,2,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,6,0,0,0,0,1,1,1,0,2,3,1,1,3,0,1,0,0,0,1,0,5,0,0,5,1,0,0,1,1,1,2,0,0,2,3
35,GCA_025643735.1,Pectobacterium,sp. F1-1,0,0,2,1,0,1,1,0,2,1,6,1,0,1,1,1,1,0,0,2,1,0,10,1,1,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,7,1,0,0,4,2,0,1,1,1,1,0,1,0,1,1,1,1,0,2,0,0,1,1,0,1,0,0,0,2,1,0,1,0,0,0,1,10,0,0,0,1,1,1,1,1,2,4,0,1,4,0,1,0,1,1,1,0,3,0,0,6,0,1,0,2,1,1,2,0,1,1,2
36,GCA_016106945.1,Dickeya,dianthicola,0,0,0,0,0,0,1,0,2,2,6,2,0,0,1,1,1,1,1,2,1,0,5,1,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,8,1,0,0,3,3,0,1,2,1,1,0,0,0,0,1,1,2,0,1,0,0,1,1,0,1,0,1,1,1,2,0,0,0,0,0,1,8,0,0,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,1,4,0,0,7,0,0,0,1,1,1,2,0,0,2,3
37,GCA_023914135.1,Pectobacterium,versatile,0,1,0,1,0,1,1,0,2,1,6,1,0,0,1,1,1,0,1,2,1,0,11,1,2,0,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,6,1,0,0,4,2,0,1,1,1,1,0,1,0,1,1,2,1,0,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,9,0,0,0,0,1,1,1,1,2,1,0,1,3,0,1,0,1,1,1,1,5,0,0,6,0,0,0,2,1,1,2,0,0,1,2
38,GCA_026891295.1,Dickeya,solani,0,1,0,0,0,0,0,0,2,2,6,1,0,0,1,1,1,0,1,2,1,0,5,1,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,5,0,0,1,3,3,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0,0,1,11,0,0,0,0,1,1,1,0,2,7,1,1,3,0,1,0,0,1,1,0,4,0,0,7,0,0,0,1,1,1,2,0,0,1,3
39,GCA_020406785.1,Pectobacterium,versatile,0,1,0,1,0,1,1,0,2,1,6,1,0,0,1,1,1,0,1,2,1,0,11,1,1,0,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,6,0,0,0,4,2,0,1,1,1,1,0,1,0,1,1,3,1,0,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,6,0,0,0,0,1,1,1,0,2,5,1,1,3,0,1,0,2,1,1,1,3,0,0,6,0,0,0,2,1,1,2,0,0,1,2
40,GCA_016107165.1,Pectobacterium,parmentieri,0,0,0,1,0,1,1,0,2,3,6,1,0,0,1,1,1,0,1,2,2,0,8,1,1,0,2,0,2,0,1,0,0,3,0,0,0,0,1,0,0,2,0,1,12,0,0,0,3,3,0,1,1,1,2,0,1,0,0,2,3,1,0,2,1,0,1,1,0,1,0,0,0,2,1,0,0,0,0,0,1,11,0,0,0,1,1,1,1,1,2,4,0,1,4,1,1,0,2,0,1,0,4,0,0,5,0,0,0,2,1,1,1,0,0,1,2
41,GCA_900107885.1,Lonsdalea,quercina,0,0,0,0,0,0,1,0,0,1,6,1,0,0,0,1,0,0,2,0,1,0,2,1,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,6,0,0,1,1,2,0,1,3,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,2,0,0,1,1,1,0,0,0,0,0,1,8,2,0,0,0,1,1,1,0,0,8,0,0,3,0,1,0,0,1,0,1,4,0,0,2,0,0,0,0,0,0,1,0,0,0,1
42,GCA_003594975.1,Pectobacterium,carotovorum,0,1,0,1,0,1,3,0,2,1,6,1,0,0,1,1,2,0,1,2,1,0,10,1,2,1,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,8,1,0,0,4,2,0,1,1,1,1,0,1,0,1,1,3,1,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,8,0,0,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,0,4,0,0,6,0,0,0,2,1,0,2,0,0,1,2
43,GCA_002921275.1,Pectobacterium,versatile,0,1,0,1,0,1,1,0,2,1,6,1,0,0,1,1,1,0,1,2,1,0,10,1,2,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,5,1,0,0,4,2,0,1,1,1,1,0,1,0,1,1,2,1,0,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,5,0,0,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,0,1,1,4,0,0,6,0,0,0,2,1,1,2,0,0,1,2
44,GCA_016950315.1,Pectobacterium,brasiliense,0,1,0,1,0,1,2,0,2,1,6,1,0,0,1,1,1,0,1,1,1,0,12,1,1,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,2,0,0,4,2,0,1,2,1,2,0,1,0,2,1,2,1,0,2,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,1,1,1,0,2,1,1,1,3,0,1,0,2,0,1,0,4,0,0,6,0,0,0,2,1,1,2,0,0,1,2
45,GCA_022358755.1,Brenneria,goodwinii,0,0,0,0,0,1,0,0,2,1,5,0,0,0,0,1,1,0,1,0,1,0,6,1,1,1,2,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,1,5,1,0,0,1,4,0,2,4,0,1,2,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,9,1,1,0,0,1,1,1,0,2,2,0,1,3,0,1,0,2,1,1,1,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0
46,GCA_000023605.1,Pectobacterium,carotovorum subsp. carotovorum PC1,0,1,0,1,0,1,2,0,2,1,6,1,0,2,1,1,1,0,2,2,1,0,10,1,1,0,2,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,5,3,0,0,5,3,0,1,1,1,1,0,1,0,1,1,2,1,0,2,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,8,0,0,0,0,1,1,1,0,2,2,1,1,3,0,1,0,3,1,1,0,4,0,0,6,0,0,0,2,1,1,2,1,1,1,2
47,GCA_016742935.1,Pectobacterium,carotovorum,0,1,0,1,0,1,2,0,2,1,6,1,0,0,1,1,1,0,0,2,1,0,10,1,1,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,5,1,0,0,4,2,0,1,1,1,1,0,1,0,1,1,2,1,0,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,6,0,0,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,1,4,0,0,6,0,0,0,2,1,1,2,0,0,1,2
48,GCA_016950175.1,Pectobacterium,brasiliense,0,1,0,1,0,1,1,0,2,1,6,1,0,0,1,1,2,0,1,2,1,0,10,1,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,7,1,0,0,4,2,0,1,1,1,1,0,1,0,1,1,3,1,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,8,0,0,0,1,1,1,1,0,2,3,0,1,3,0,1,0,1,1,1,0,4,0,0,6,0,0,0,2,1,1,2,0,0,1,2
49,GCA_009873515.1,Dickeya,dianthicola,0,0,0,0,0,0,1,0,2,2,6,2,0,0,1,1,1,1,1,2,1,0,5,1,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,7,0,0,0,3,3,0,1,2,1,1,0,0,0,0,1,1,2,0,1,0,0,1,1,0,1,0,1,1,1,2,0,0,0,0,0,1,8,0,0,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,1,4,0,0,6,0,0,0,1,1,1,2,0,0,2,3
